model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(32-16)_0.1,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.1,0.001,0.001,0.5082400315686276,0.7208521858147426
(64-32-16)_0.2,adam_lr5e-4_wd1e-4,11,"(64, 32, 16)",0.2,0.0005,0.0001,0.5085671659101519,0.7168149514026686
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-5,11,"(64, 32, 16, 8)",0.1,0.0005,1e-05,0.5088561595531932,0.6863360703536032
(128-64)_0.4,adam_lr5e-4_wd0,7,"(128, 64)",0.4,0.0005,0.0,0.5090240261010957,0.6970518881707292
(64-32-16)_0.2,adam_lr5e-4_wd1e-3,11,"(64, 32, 16)",0.2,0.0005,0.001,0.5093909533400285,0.7084701535623291
(32-16)_0.1,adam_lr1e-3_wd1e-3,11,"(32, 16)",0.1,0.001,0.001,0.5096661866756907,0.705428998298209
(32-16)_0.1,adam_lr1e-3_wd1e-4,7,"(32, 16)",0.1,0.001,0.0001,0.5105894783086944,0.7167990163972898
(64-32-16)_0.4,adam_lr2e-3_wd1e-3,7,"(64, 32, 16)",0.4,0.002,0.001,0.5106456572549385,0.7535998366901311
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-4,11,"(64, 32, 16, 8)",0.1,0.0005,0.0001,0.5142866373062134,0.7130578900537582
(32-16)_0.0,adam_lr5e-4_wd1e-5,7,"(32, 16)",0.0,0.0005,1e-05,0.5143227639951204,0.7141304123907317
(64-32-16)_0.4,adam_lr2e-3_wd1e-4,7,"(64, 32, 16)",0.4,0.002,0.0001,0.5148307085037231,0.7593516154569747
(64-32)_0.4,adam_lr1e-3_wd1e-3,11,"(64, 32)",0.4,0.001,0.001,0.5152178709967095,0.7203842070549283
(128-64)_0.4,adam_lr5e-4_wd1e-3,11,"(128, 64)",0.4,0.0005,0.001,0.5152952535110608,0.6909229168089835
(64-32)_0.2,adam_lr5e-4_wd1e-4,11,"(64, 32)",0.2,0.0005,0.0001,0.5155914038942572,0.713760430252454
(64-32)_0.2,adam_lr5e-4_wd1e-5,7,"(64, 32)",0.2,0.0005,1e-05,0.5155981590873316,0.7210387736405507
(32-16)_0.2,adam_lr1e-3_wd0,7,"(32, 16)",0.2,0.001,0.0,0.519782400967782,0.7110006695280421
(64-32-16)_0.2,adam_lr1e-3_wd1e-5,7,"(64, 32, 16)",0.2,0.001,1e-05,0.520592258687605,0.6909509395129231
(64-32-16)_0.1,adam_lr5e-4_wd1e-4,11,"(64, 32, 16)",0.1,0.0005,0.0001,0.5209183682475174,0.6954410935362133
(64-32-16)_0.1,adam_lr5e-4_wd1e-3,11,"(64, 32, 16)",0.1,0.0005,0.001,0.5210538454223097,0.6741038719122366
(32-16)_0.1,adam_lr1e-3_wd1e-5,7,"(32, 16)",0.1,0.001,1e-05,0.5234031928213019,0.7058641894636102
(64-32)_0.2,adam_lr5e-4_wd1e-4,7,"(64, 32)",0.2,0.0005,0.0001,0.5248436216722455,0.705755169248316
(64-32-16)_0.4,adam_lr1e-3_wd1e-5,11,"(64, 32, 16)",0.4,0.001,1e-05,0.526376630130567,0.7405721646632374
(64-32)_0.2,adam_lr5e-4_wd0,7,"(64, 32)",0.2,0.0005,0.0,0.5309364523803979,0.7040078404476712
(64-32-16)_0.1,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.1,0.0005,0.0,0.5311664761158458,0.7017188118872218
(64-32-16)_0.2,adam_lr5e-4_wd0,11,"(64, 32, 16)",0.2,0.0005,0.0,0.5320387189848381,0.7430420177348896
(64-32-16)_0.2,adam_lr1e-3_wd1e-3,7,"(64, 32, 16)",0.2,0.001,0.001,0.5339885876889814,0.7081596209472982
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-3,7,"(64, 32, 16, 8)",0.2,0.001,0.001,0.5359047348039192,0.7338718539814342
(32-16)_0.1,adam_lr5e-4_wd0,11,"(32, 16)",0.1,0.0005,0.0,0.5372598422201056,0.7438155308106676
(64-32-16)_0.4,adam_lr1e-3_wd1e-5,7,"(64, 32, 16)",0.4,0.001,1e-05,0.5378369417106896,0.7455657775503431
(64-32-16-8)_0.2,adam_lr1e-3_wd1e-5,11,"(64, 32, 16, 8)",0.2,0.001,1e-05,0.538790480086678,0.7348470726798909
(64-32-16)_0.4,adam_lr2e-3_wd0,7,"(64, 32, 16)",0.4,0.002,0.0,0.5388758600803844,0.7275258497914572
(64-32)_0.4,adam_lr5e-4_wd0,7,"(64, 32)",0.4,0.0005,0.0,0.5389015089001572,0.745291847775284
(32-16)_0.0,adam_lr5e-4_wd1e-3,7,"(32, 16)",0.0,0.0005,0.001,0.5390084197646693,0.7087916209160898
(64-32-16-8)_0.2,adam_lr1e-3_wd0,11,"(64, 32, 16, 8)",0.2,0.001,0.0,0.5392782353518302,0.7037383352107306
(32-16)_0.2,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.2,0.001,0.001,0.5399772148383292,0.7255739600240875
(32-16)_0.1,adam_lr5e-4_wd1e-5,11,"(32, 16)",0.1,0.0005,1e-05,0.5406391003675628,0.7496281973824844
(64-32-16)_0.4,adam_lr1e-3_wd1e-4,11,"(64, 32, 16)",0.4,0.001,0.0001,0.5418413783374586,0.7788586394727857
(64-32)_0.4,adam_lr1e-3_wd1e-3,7,"(64, 32)",0.4,0.001,0.001,0.5419884648239404,0.7197052483088796
(32-16)_0.0,adam_lr5e-4_wd0,7,"(32, 16)",0.0,0.0005,0.0,0.5429988587111757,0.7238690454960252
(64-32-16)_0.2,adam_lr5e-4_wd1e-3,7,"(64, 32, 16)",0.2,0.0005,0.001,0.5434935166124713,0.7296316455943297
(64-32-16)_0.2,adam_lr5e-4_wd1e-4,7,"(64, 32, 16)",0.2,0.0005,0.0001,0.5437736051124439,0.7313669103458638
(64-32-16)_0.2,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.2,0.0005,0.0,0.5445708768409595,0.7136681026510553
(128-64)_0.4,adam_lr5e-4_wd1e-5,7,"(128, 64)",0.4,0.0005,1e-05,0.5446428186015079,0.7064307641620486
(64-32)_0.4,adam_lr1e-3_wd1e-4,7,"(64, 32)",0.4,0.001,0.0001,0.545042314027485,0.7233901077209463
(32-16)_0.2,adam_lr1e-3_wd1e-5,11,"(32, 16)",0.2,0.001,1e-05,0.5455169531337002,0.7493871997997036
(64-32)_0.4,adam_lr5e-4_wd1e-4,11,"(64, 32)",0.4,0.0005,0.0001,0.5468841812066865,0.7489021264877301
(32-16)_0.4,adam_lr2e-3_wd1e-5,11,"(32, 16)",0.4,0.002,1e-05,0.5476286243974117,0.7469665857725718
(64-32-16)_0.2,adam_lr5e-4_wd1e-5,11,"(64, 32, 16)",0.2,0.0005,1e-05,0.5480889500233165,0.7051115729865617
(32-16)_0.1,adam_lr5e-4_wd1e-3,7,"(32, 16)",0.1,0.0005,0.001,0.5489589007277238,0.7213512377284559
(64-32)_0.4,adam_lr5e-4_wd1e-3,11,"(64, 32)",0.4,0.0005,0.001,0.5497549291242633,0.7518483991624517
(32-16)_0.2,adam_lr5e-4_wd0,7,"(32, 16)",0.2,0.0005,0.0,0.550220393297965,0.7397427971961182
(64-32-16)_0.2,adam_lr5e-4_wd1e-5,7,"(64, 32, 16)",0.2,0.0005,1e-05,0.5509539215188277,0.7236093248824917
(64-32-16-8)_0.1,adam_lr5e-4_wd1e-4,7,"(64, 32, 16, 8)",0.1,0.0005,0.0001,0.5527062405619705,0.7248586689198578
(64-32)_0.4,adam_lr1e-3_wd0,7,"(64, 32)",0.4,0.001,0.0,0.5534785557211491,0.729828919331243
(32-16)_0.2,adam_lr5e-4_wd1e-3,11,"(32, 16)",0.2,0.0005,0.001,0.554449620999788,0.7581149637698397
(32-16)_0.2,adam_lr5e-4_wd1e-5,11,"(32, 16)",0.2,0.0005,1e-05,0.5548198432253119,0.7486212368538196
(32-16)_0.2,adam_lr1e-3_wd1e-4,7,"(32, 16)",0.2,0.001,0.0001,0.5554595694207308,0.7205474192691884
(64-32)_0.4,adam_lr1e-3_wd0,11,"(64, 32)",0.4,0.001,0.0,0.5555269299891957,0.7157164300699601
(32-16)_0.1,adam_lr5e-4_wd1e-5,7,"(32, 16)",0.1,0.0005,1e-05,0.5555968075467829,0.7521289832183239
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-5,11,"(64, 32, 16, 8)",0.2,0.0005,1e-05,0.5557825648993776,0.7391697113401728
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-3,11,"(64, 32, 16, 8)",0.2,0.0005,0.001,0.5561776338962087,0.7587233868405884
(32-16)_0.1,adam_lr5e-4_wd1e-3,11,"(32, 16)",0.1,0.0005,0.001,0.5563954219483492,0.734878667625986
(32-16)_0.2,adam_lr1e-3_wd1e-3,11,"(32, 16)",0.2,0.001,0.001,0.5563983593070716,0.7569967967503441
(64-32)_0.4,adam_lr5e-4_wd0,11,"(64, 32)",0.4,0.0005,0.0,0.5570000514649508,0.7694869632138749
(32-16)_0.1,adam_lr5e-4_wd0,7,"(32, 16)",0.1,0.0005,0.0,0.5586263987055996,0.7505212796683957
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-5,11,"(64, 32, 16, 8)",0.4,0.002,1e-05,0.5597363595376935,0.7990384655136877
(32-16)_0.4,adam_lr2e-3_wd1e-3,11,"(32, 16)",0.4,0.002,0.001,0.5645712133039508,0.7708983701321265
(32-16)_0.4,adam_lr2e-3_wd1e-5,7,"(32, 16)",0.4,0.002,1e-05,0.5655443992531091,0.7753403206670046
(64-32-16)_0.4,adam_lr1e-3_wd0,7,"(64, 32, 16)",0.4,0.001,0.0,0.5674742021058735,0.7458411998270614
(64-32-16)_0.4,adam_lr1e-3_wd1e-3,11,"(64, 32, 16)",0.4,0.001,0.001,0.5685557419793648,0.7740971616506673
(64-32)_0.4,adam_lr1e-3_wd1e-5,7,"(64, 32)",0.4,0.001,1e-05,0.5732685766722027,0.7262066412385261
(32-16)_0.4,adam_lr2e-3_wd0,7,"(32, 16)",0.4,0.002,0.0,0.5749925740978175,0.7408862598424399
(64-32-16)_0.4,adam_lr1e-3_wd1e-4,7,"(64, 32, 16)",0.4,0.001,0.0001,0.5754712464516623,0.7730431547791332
(64-32-16-8)_0.2,adam_lr5e-4_wd0,11,"(64, 32, 16, 8)",0.2,0.0005,0.0,0.5780027330967418,0.7615183544756046
(64-32-16)_0.4,adam_lr1e-3_wd0,11,"(64, 32, 16)",0.4,0.001,0.0,0.5781696438789368,0.775792943239245
(32-16)_0.4,adam_lr2e-3_wd1e-4,7,"(32, 16)",0.4,0.002,0.0001,0.5785411711324725,0.782201604378199
(32-16)_0.2,adam_lr1e-3_wd1e-5,7,"(32, 16)",0.2,0.001,1e-05,0.5798988405026888,0.7499824266171669
(64-32-16-8)_0.4,adam_lr2e-3_wd0,7,"(64, 32, 16, 8)",0.4,0.002,0.0,0.5813514234726889,0.8039306408046258
(64-32)_0.4,adam_lr5e-4_wd1e-5,11,"(64, 32)",0.4,0.0005,1e-05,0.5834478349016424,0.7649006721710897
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-5,7,"(64, 32, 16, 8)",0.2,0.0005,1e-05,0.5846537748972574,0.748260155849166
(32-16)_0.2,adam_lr5e-4_wd1e-5,7,"(32, 16)",0.2,0.0005,1e-05,0.5851097169675326,0.7378351738811385
(64-32)_0.4,adam_lr5e-4_wd1e-5,7,"(64, 32)",0.4,0.0005,1e-05,0.5853688152212846,0.7469743765577258
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-4,7,"(64, 32, 16, 8)",0.2,0.0005,0.0001,0.5875710008437174,0.7719784967231816
(32-16)_0.1,adam_lr5e-4_wd1e-4,7,"(32, 16)",0.1,0.0005,0.0001,0.588011318131497,0.7726911077016625
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-4,11,"(64, 32, 16, 8)",0.2,0.0005,0.0001,0.5909614552531326,0.7762517355157202
(64-32-16-8)_0.2,adam_lr5e-4_wd1e-3,7,"(64, 32, 16, 8)",0.2,0.0005,0.001,0.5920567062863132,0.7680998468965249
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-4,7,"(64, 32, 16, 8)",0.4,0.002,0.0001,0.5922626486995763,0.7804271461284837
(32-16)_0.4,adam_lr1e-3_wd1e-3,11,"(32, 16)",0.4,0.001,0.001,0.594575518055966,0.7887976268776558
(32-16)_0.2,adam_lr5e-4_wd1e-3,7,"(32, 16)",0.2,0.0005,0.001,0.5948432370236045,0.7618986011420731
(32-16)_0.4,adam_lr2e-3_wd0,11,"(32, 16)",0.4,0.002,0.0,0.5980249925663597,0.7638186690046568
(64-32-16-8)_0.4,adam_lr2e-3_wd0,11,"(64, 32, 16, 8)",0.4,0.002,0.0,0.5981919953697606,0.8019995109072073
(32-16)_0.1,adam_lr5e-4_wd1e-4,11,"(32, 16)",0.1,0.0005,0.0001,0.5994924620578164,0.7599263282308568
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-4,11,"(64, 32, 16, 8)",0.4,0.001,0.0001,0.5999531902764973,0.8312148534122797
(64-32)_0.4,adam_lr5e-4_wd1e-4,7,"(64, 32)",0.4,0.0005,0.0001,0.6077691463001987,0.7646327222007417
(64-32-16)_0.4,adam_lr1e-3_wd1e-3,7,"(64, 32, 16)",0.4,0.001,0.001,0.611677977076748,0.7922655165150875
(32-16)_0.2,adam_lr5e-4_wd1e-4,11,"(32, 16)",0.2,0.0005,0.0001,0.6118144643934149,0.7943359892429548
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-3,11,"(64, 32, 16, 8)",0.4,0.002,0.001,0.6145170477398655,0.8363926971522091
(64-32-16-8)_0.2,adam_lr5e-4_wd0,7,"(64, 32, 16, 8)",0.2,0.0005,0.0,0.6157331320277432,0.7770658440086753
(64-32)_0.4,adam_lr5e-4_wd1e-3,7,"(64, 32)",0.4,0.0005,0.001,0.6159145026876215,0.781141275552763
(32-16)_0.2,adam_lr5e-4_wd0,11,"(32, 16)",0.2,0.0005,0.0,0.6178084277270133,0.7835131104031998
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-4,11,"(64, 32, 16, 8)",0.4,0.002,0.0001,0.6282894778669926,0.8293765608060212
(32-16)_0.4,adam_lr1e-3_wd1e-5,11,"(32, 16)",0.4,0.001,1e-05,0.6332538692574752,0.802716464891371
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-5,7,"(64, 32, 16, 8)",0.4,0.002,1e-05,0.6379116083446302,0.8303467713978785
(32-16)_0.2,adam_lr5e-4_wd1e-4,7,"(32, 16)",0.2,0.0005,0.0001,0.6479804620408175,0.8132262667916366
(32-16)_0.4,adam_lr2e-3_wd1e-3,7,"(32, 16)",0.4,0.002,0.001,0.6480750818001596,0.8009486985926246
(64-32-16-8)_0.2,adam_lr1e-3_wd0,7,"(64, 32, 16, 8)",0.2,0.001,0.0,0.6521835588572318,0.794768978020181
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-4,7,"(64, 32, 16, 8)",0.4,0.001,0.0001,0.6531122128168741,0.824312510287448
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-5,11,"(64, 32, 16, 8)",0.4,0.001,1e-05,0.6542355449576127,0.811889711398593
(32-16)_0.4,adam_lr1e-3_wd1e-4,7,"(32, 16)",0.4,0.001,0.0001,0.6545813167304323,0.81662499402003
(64-32-16)_0.4,adam_lr5e-4_wd1e-4,7,"(64, 32, 16)",0.4,0.0005,0.0001,0.6550451213853401,0.8068616914928284
(64-32-16-8)_0.4,adam_lr2e-3_wd1e-3,7,"(64, 32, 16, 8)",0.4,0.002,0.001,0.6556633961828131,0.8340979702766871
(64-32-16)_0.4,adam_lr5e-4_wd1e-4,11,"(64, 32, 16)",0.4,0.0005,0.0001,0.6588164484291746,0.815313425115849
(64-32-16)_0.4,adam_lr5e-4_wd0,7,"(64, 32, 16)",0.4,0.0005,0.0,0.6647761882397166,0.8081377868323134
(32-16)_0.4,adam_lr1e-3_wd0,7,"(32, 16)",0.4,0.001,0.0,0.6693435719138697,0.8087047261178891
(64-32-16)_0.4,adam_lr5e-4_wd1e-3,11,"(64, 32, 16)",0.4,0.0005,0.001,0.6793106051913479,0.8368098593307987
(32-16)_0.4,adam_lr1e-3_wd1e-4,11,"(32, 16)",0.4,0.001,0.0001,0.6891222083777712,0.8616570448782669
(64-32-16)_0.4,adam_lr5e-4_wd0,11,"(64, 32, 16)",0.4,0.0005,0.0,0.6895383324539452,0.8429947530545888
(32-16)_0.4,adam_lr1e-3_wd1e-5,7,"(32, 16)",0.4,0.001,1e-05,0.6910398278320045,0.8174232470134848
(64-32-16)_0.4,adam_lr5e-4_wd1e-5,7,"(64, 32, 16)",0.4,0.0005,1e-05,0.6957427859306335,0.8277435341050087
(32-16)_0.4,adam_lr5e-4_wd1e-5,7,"(32, 16)",0.4,0.0005,1e-05,0.7010983667875591,0.8573225984151063
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-3,7,"(64, 32, 16, 8)",0.4,0.001,0.001,0.7022337338380646,0.8789935085453932
(64-32-16)_0.4,adam_lr5e-4_wd1e-5,11,"(64, 32, 16)",0.4,0.0005,1e-05,0.704831039696409,0.8575403274301632
(64-32-16-8)_0.4,adam_lr1e-3_wd0,11,"(64, 32, 16, 8)",0.4,0.001,0.0,0.7080938878812288,0.8913480606742307
(32-16)_0.4,adam_lr1e-3_wd0,11,"(32, 16)",0.4,0.001,0.0,0.7135066525977954,0.8351829530435354
(32-16)_0.4,adam_lr5e-4_wd0,7,"(32, 16)",0.4,0.0005,0.0,0.733140302331824,0.8505123036671547
(32-16)_0.4,adam_lr5e-4_wd1e-5,11,"(32, 16)",0.4,0.0005,1e-05,0.7428275012133414,0.8747766416991877
(64-32-16)_0.4,adam_lr5e-4_wd1e-3,7,"(64, 32, 16)",0.4,0.0005,0.001,0.7483055016450715,0.840441558648901
(64-32-16-8)_0.4,adam_lr1e-3_wd0,7,"(64, 32, 16, 8)",0.4,0.001,0.0,0.7497127192062244,0.9010288488155918
(32-16)_0.4,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.4,0.001,0.001,0.7584003994339391,0.8596454387832718
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-4,11,"(64, 32, 16, 8)",0.4,0.0005,0.0001,0.7605638734081335,0.9211024643552287
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-3,11,"(64, 32, 16, 8)",0.4,0.0005,0.001,0.7650978397904781,0.920330742784511
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-3,11,"(64, 32, 16, 8)",0.4,0.001,0.001,0.7813345946763691,0.9070578281777263
(32-16)_0.4,adam_lr5e-4_wd1e-4,7,"(32, 16)",0.4,0.0005,0.0001,0.7851834129868892,0.8936776020236838
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-4,7,"(64, 32, 16, 8)",0.4,0.0005,0.0001,0.7892267379844398,0.9360021315379026
(32-16)_0.4,adam_lr5e-4_wd1e-3,7,"(32, 16)",0.4,0.0005,0.001,0.7921666241528695,0.8902769099579484
(64-32-16-8)_0.4,adam_lr5e-4_wd0,7,"(64, 32, 16, 8)",0.4,0.0005,0.0,0.8058658733702543,0.9074209860720751
(32-16)_0.4,adam_lr5e-4_wd0,11,"(32, 16)",0.4,0.0005,0.0,0.817248424939942,0.9202747179243378
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-5,11,"(64, 32, 16, 8)",0.4,0.0005,1e-05,0.8179433816357663,0.9288180661164339
(64-32-16-8)_0.4,adam_lr1e-3_wd1e-5,7,"(64, 32, 16, 8)",0.4,0.001,1e-05,0.8244251441537288,0.9518969963407433
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-5,7,"(64, 32, 16, 8)",0.4,0.0005,1e-05,0.8387671238497684,0.9490418350327628
(32-16)_0.4,adam_lr5e-4_wd1e-4,11,"(32, 16)",0.4,0.0005,0.0001,0.8476858316806325,0.9167025920301536
(32-16)_0.4,adam_lr5e-4_wd1e-3,11,"(32, 16)",0.4,0.0005,0.001,0.854665548132177,0.9278936530288567
(64-32-16-8)_0.4,adam_lr5e-4_wd1e-3,7,"(64, 32, 16, 8)",0.4,0.0005,0.001,0.9110175758077387,0.9660178029006924
(64-32-16-8)_0.4,adam_lr5e-4_wd0,11,"(64, 32, 16, 8)",0.4,0.0005,0.0,1.0618146176923786,1.0793117800992607
